itl1,itl1name,itl2,itl2name,itl3,itl3name,mca,mcaname
TLD,North West,TLD4,Lancashire,TLD46,East Lancashire,,
TLD,North West,TLD4,Lancashire,TLD47,Chorley and West Lancashire,,
TLD,North West,TLD4,Lancashire,TLD47,Chorley and West Lancashire,,
TLD,North West,TLD6,Cheshire,TLD61,Warrington,,
TLD,North West,TLD6,Cheshire,TLD62,Cheshire East,,
TLD,North West,TLD6,Cheshire,TLD63,Cheshire West and Chester,,
TLD,North West,TLD7,Merseyside,TLD71,East Merseyside,E47000004,Liverpool City Region
TLD,North West,TLD7,Merseyside,TLD71,East Merseyside,E47000004,Liverpool City Region
TLD,North West,TLD7,Merseyside,TLD71,East Merseyside,E47000004,Liverpool City Region
TLD,North West,TLD7,Merseyside,TLD72,Liverpool,E47000004,Liverpool City Region
TLD,North West,TLD7,Merseyside,TLD73,Sefton,E47000004,Liverpool City Region
TLD,North West,TLD7,Merseyside,TLD74,Wirral,E47000004,Liverpool City Region
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE11,"Kingston upon Hull, City of",,
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE12,East Riding of Yorkshire,,
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE13,North and North East Lincolnshire,E47000017,Greater Lincolnshire
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE13,North and North East Lincolnshire,E47000017,Greater Lincolnshire
TLE,Yorkshire and The Humber,TLE2,North Yorkshire,TLE21,York,E47000012,York and North Yorkshire
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG21,Telford and Wrekin,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG22,Shropshire,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG23,Stoke-on-Trent,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,,
TLG,West Midlands,TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,,
TLG,West Midlands,TLG3,West Midlands,TLG31,Birmingham,E47000007,West Midlands
TLG,West Midlands,TLG3,West Midlands,TLG32,Solihull,E47000007,West Midlands
TLG,West Midlands,TLG3,West Midlands,TLG33,Coventry,E47000007,West Midlands
TLG,West Midlands,TLG3,West Midlands,TLG36,Dudley,E47000007,West Midlands
TLG,West Midlands,TLG3,West Midlands,TLG37,Sandwell,E47000007,West Midlands
TLG,West Midlands,TLG3,West Midlands,TLG38,Walsall,E47000007,West Midlands
TLG,West Midlands,TLG3,West Midlands,TLG39,Wolverhampton,E47000007,West Midlands
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH21,Luton,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH24,Bedford,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH25,Central Bedfordshire,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,,
TLH,East,TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,,
TLH,East,TLH3,Essex,TLH31,Southend-on-Sea,,
TLH,East,TLH3,Essex,TLH32,Thurrock,,
TLH,East,TLH3,Essex,TLH34,Essex Haven Gateway,,
TLH,East,TLH3,Essex,TLH34,Essex Haven Gateway,,
TLH,East,TLH3,Essex,TLH34,Essex Haven Gateway,,
TLH,East,TLH3,Essex,TLH35,West Essex,,
TLH,East,TLH3,Essex,TLH35,West Essex,,
TLH,East,TLH3,Essex,TLH35,West Essex,,
TLH,East,TLH3,Essex,TLH36,Heart of Essex,,
TLH,East,TLH3,Essex,TLH36,Heart of Essex,,
TLH,East,TLH3,Essex,TLH36,Heart of Essex,,
TLH,East,TLH3,Essex,TLH37,Essex Thames Gateway,,
TLH,East,TLH3,Essex,TLH37,Essex Thames Gateway,,
TLH,East,TLH3,Essex,TLH37,Essex Thames Gateway,,
TLH,East,TLH4,Cambridgeshire and Peterborough,TLH41,Peterborough,E47000008,Cambridgeshire and Peterborough
TLH,East,TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E47000008,Cambridgeshire and Peterborough
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ14,Oxfordshire CC,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ14,Oxfordshire CC,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ14,Oxfordshire CC,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ14,Oxfordshire CC,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ15,Berkshire East,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ15,Berkshire East,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ15,Berkshire East,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ16,Berkshire West,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ16,Berkshire West,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ16,Berkshire West,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ21,Brighton and Hove,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ22,East Sussex CC,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ22,East Sussex CC,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ22,East Sussex CC,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ22,East Sussex CC,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ22,East Sussex CC,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ26,East Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ26,East Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ26,East Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ26,East Surrey,,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ27,West Sussex (South West),,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ27,West Sussex (South West),,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ27,West Sussex (South West),,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ27,West Sussex (South West),,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ28,West Sussex (North East),,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ28,West Sussex (North East),,
TLJ,South East,TLJ2,"Surrey, East and West Sussex",TLJ28,West Sussex (North East),,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ31,Portsmouth,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ32,Southampton,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ34,Isle of Wight,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ35,South Hampshire,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ35,South Hampshire,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ35,South Hampshire,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ35,South Hampshire,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ36,Central Hampshire,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ36,Central Hampshire,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ36,Central Hampshire,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ36,Central Hampshire,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ37,North Hampshire,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ37,North Hampshire,,
TLJ,South East,TLJ3,Hampshire and Isle of Wight,TLJ37,North Hampshire,,
TLJ,South East,TLJ4,Kent,TLJ41,Medway,,
TLJ,South East,TLJ4,Kent,TLJ43,Kent Thames Gateway,,
TLJ,South East,TLJ4,Kent,TLJ43,Kent Thames Gateway,,
TLJ,South East,TLJ4,Kent,TLJ43,Kent Thames Gateway,,
TLJ,South East,TLJ4,Kent,TLJ44,East Kent,,
TLJ,South East,TLJ4,Kent,TLJ44,East Kent,,
TLJ,South East,TLJ4,Kent,TLJ44,East Kent,,
TLJ,South East,TLJ4,Kent,TLJ44,East Kent,,
TLJ,South East,TLJ4,Kent,TLJ45,Mid Kent,,
TLJ,South East,TLJ4,Kent,TLJ45,Mid Kent,,
TLJ,South East,TLJ4,Kent,TLJ46,West Kent,,
TLJ,South East,TLJ4,Kent,TLJ46,West Kent,,
TLJ,South East,TLJ4,Kent,TLJ46,West Kent,,
TLK,South West,TLK3,Cornwall and Isles of Scilly,TLK30,Cornwall and Isles of Scilly,,
TLK,South West,TLK3,Cornwall and Isles of Scilly,TLK30,Cornwall and Isles of Scilly,,
TLK,South West,TLK4,Devon,TLK41,Plymouth,,
TLK,South West,TLK4,Devon,TLK42,Torbay,,
TLK,South West,TLK4,Devon,TLK43,Devon CC,,
TLK,South West,TLK4,Devon,TLK43,Devon CC,,
TLK,South West,TLK4,Devon,TLK43,Devon CC,,
TLK,South West,TLK4,Devon,TLK43,Devon CC,,
TLK,South West,TLK4,Devon,TLK43,Devon CC,,
TLK,South West,TLK4,Devon,TLK43,Devon CC,,
TLK,South West,TLK4,Devon,TLK43,Devon CC,,
TLK,South West,TLK4,Devon,TLK43,Devon CC,,
TLK,South West,TLK5,West of England,TLK51,"Bristol, City of",E47000009,West of England
TLK,South West,TLK5,West of England,TLK52,Bath & North East Somerset and South Gloucestershire,E47000009,West of England
TLK,South West,TLK5,West of England,TLK52,Bath & North East Somerset and South Gloucestershire,E47000009,West of England
TLK,South West,TLK6,"North Somerset, Somerset and Dorset",TLK61,North Somerset,,
TLK,South West,TLK6,"North Somerset, Somerset and Dorset",TLK62,Somerset,,
TLK,South West,TLK6,"North Somerset, Somerset and Dorset",TLK63,"Bournemouth, Christchurch and Poole",,
TLK,South West,TLK6,"North Somerset, Somerset and Dorset",TLK64,Dorset,,
TLK,South West,TLK7,Gloucestershire and Wiltshire,TLK71,Swindon,,
TLK,South West,TLK7,Gloucestershire and Wiltshire,TLK72,Wiltshire,,
TLK,South West,TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,,
TLK,South West,TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,,
TLK,South West,TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,,
TLK,South West,TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,,
TLK,South West,TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,,
TLK,South West,TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,,
TLL,Wales,TLL3,North Wales,TLL31,Isle of Anglesey,,
TLL,Wales,TLL3,North Wales,TLL32,Gwynedd,,
TLL,Wales,TLL3,North Wales,TLL33,Conwy and Denbighshire,,
TLL,Wales,TLL3,North Wales,TLL33,Conwy and Denbighshire,,
TLL,Wales,TLL3,North Wales,TLL34,Flintshire and Wrexham,,
TLL,Wales,TLL3,North Wales,TLL34,Flintshire and Wrexham,,
TLL,Wales,TLL4,Mid and South West Wales,TLL41,Mid Wales,,
TLL,Wales,TLL4,Mid and South West Wales,TLL41,Mid Wales,,
TLL,Wales,TLL4,Mid and South West Wales,TLL42,South West Wales,,
TLL,Wales,TLL4,Mid and South West Wales,TLL42,South West Wales,,
TLL,Wales,TLL4,Mid and South West Wales,TLL43,Swansea,,
TLL,Wales,TLL4,Mid and South West Wales,TLL44,Neath Port Talbot,,
TLL,Wales,TLL5,South East Wales,TLL51,Central Valleys and Bridgend,,
TLL,Wales,TLL5,South East Wales,TLL51,Central Valleys and Bridgend,,
TLL,Wales,TLL5,South East Wales,TLL51,Central Valleys and Bridgend,,
TLL,Wales,TLL5,South East Wales,TLL52,Cardiff and Vale of Glamorgan,,
TLH,East,TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E47000008,Cambridgeshire and Peterborough
TLH,East,TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E47000008,Cambridgeshire and Peterborough
TLH,East,TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E47000008,Cambridgeshire and Peterborough
TLH,East,TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E47000008,Cambridgeshire and Peterborough
TLH,East,TLH5,Norfolk,TLH51,Norwich and East Norfolk,,
TLH,East,TLH5,Norfolk,TLH51,Norwich and East Norfolk,,
TLH,East,TLH5,Norfolk,TLH51,Norwich and East Norfolk,,
TLH,East,TLH5,Norfolk,TLH52,North and West Norfolk,,
TLH,East,TLH5,Norfolk,TLH52,North and West Norfolk,,
TLH,East,TLH5,Norfolk,TLH53,Breckland and South Norfolk,,
TLH,East,TLH5,Norfolk,TLH53,Breckland and South Norfolk,,
TLH,East,TLH6,Suffolk,TLH61,Babergh and Mid Suffolk,,
TLH,East,TLH6,Suffolk,TLH61,Babergh and Mid Suffolk,,
TLH,East,TLH6,Suffolk,TLH62,Ipswich,,
TLH,East,TLH6,Suffolk,TLH63,East Suffolk,,
TLH,East,TLH6,Suffolk,TLH64,West Suffolk,,
TLI,London,TLI3,Inner London - West,TLI33,Kensington & Chelsea and Hammersmith & Fulham,E61000001,Greater London
TLI,London,TLI3,Inner London - West,TLI33,Kensington & Chelsea and Hammersmith & Fulham,E61000001,Greater London
TLI,London,TLI3,Inner London - West,TLI34,Wandsworth,E61000001,Greater London
TLI,London,TLI3,Inner London - West,TLI35,Westminster and City of London,E61000001,Greater London
TLI,London,TLI3,Inner London - West,TLI35,Westminster and City of London,E61000001,Greater London
TLI,London,TLI3,Inner London - West,TLI36,Camden,E61000001,Greater London
TLI,London,TLI4,Inner London - East,TLI41,Hackney and Newham,E61000001,Greater London
TLI,London,TLI4,Inner London - East,TLI41,Hackney and Newham,E61000001,Greater London
TLI,London,TLI4,Inner London - East,TLI42,Tower Hamlets,E61000001,Greater London
TLI,London,TLI4,Inner London - East,TLI43,Haringey and Islington,E61000001,Greater London
TLI,London,TLI4,Inner London - East,TLI43,Haringey and Islington,E61000001,Greater London
TLI,London,TLI4,Inner London - East,TLI44,Lewisham and Southwark,E61000001,Greater London
TLI,London,TLI4,Inner London - East,TLI44,Lewisham and Southwark,E61000001,Greater London
TLI,London,TLI4,Inner London - East,TLI45,Lambeth,E61000001,Greater London
TLI,London,TLI5,Outer London - East and North East,TLI51,Bexley and Greenwich,E61000001,Greater London
TLI,London,TLI5,Outer London - East and North East,TLI51,Bexley and Greenwich,E61000001,Greater London
TLI,London,TLI5,Outer London - East and North East,TLI52,Barking & Dagenham and Havering,E61000001,Greater London
TLI,London,TLI5,Outer London - East and North East,TLI52,Barking & Dagenham and Havering,E61000001,Greater London
TLI,London,TLI5,Outer London - East and North East,TLI53,Redbridge and Waltham Forest,E61000001,Greater London
TLI,London,TLI5,Outer London - East and North East,TLI53,Redbridge and Waltham Forest,E61000001,Greater London
TLI,London,TLI5,Outer London - East and North East,TLI54,Enfield,E61000001,Greater London
TLI,London,TLI6,Outer London - South,TLI61,Bromley,E61000001,Greater London
TLI,London,TLI6,Outer London - South,TLI62,Croydon,E61000001,Greater London
TLI,London,TLI6,Outer London - South,TLI63,"Merton, Kingston upon Thames and Sutton",E61000001,Greater London
TLI,London,TLI6,Outer London - South,TLI63,"Merton, Kingston upon Thames and Sutton",E61000001,Greater London
TLI,London,TLI6,Outer London - South,TLI63,"Merton, Kingston upon Thames and Sutton",E61000001,Greater London
TLI,London,TLI7,Outer London - West and North West,TLI71,Barnet,E61000001,Greater London
TLI,London,TLI7,Outer London - West and North West,TLI72,Brent,E61000001,Greater London
TLI,London,TLI7,Outer London - West and North West,TLI73,Ealing,E61000001,Greater London
TLI,London,TLI7,Outer London - West and North West,TLI74,Harrow and Hillingdon,E61000001,Greater London
TLI,London,TLI7,Outer London - West and North West,TLI74,Harrow and Hillingdon,E61000001,Greater London
TLI,London,TLI7,Outer London - West and North West,TLI75,Hounslow and Richmond upon Thames,E61000001,Greater London
TLI,London,TLI7,Outer London - West and North West,TLI75,Hounslow and Richmond upon Thames,E61000001,Greater London
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ12,Milton Keynes,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ13,Buckinghamshire,,
TLJ,South East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ14,Oxfordshire CC,,
TLE,Yorkshire and The Humber,TLE2,North Yorkshire,TLE22,North Yorkshire,E47000012,York and North Yorkshire
TLE,Yorkshire and The Humber,TLE3,South Yorkshire,TLE32,Sheffield,,
TLE,Yorkshire and The Humber,TLE3,South Yorkshire,TLE33,Barnsley,,
TLE,Yorkshire and The Humber,TLE3,South Yorkshire,TLE34,Rotherham,E47000002,South Yorkshire
TLE,Yorkshire and The Humber,TLE3,South Yorkshire,TLE35,Doncaster,E47000002,South Yorkshire
TLE,Yorkshire and The Humber,TLE4,West Yorkshire,TLE41,Bradford,E47000003,West Yorkshire
TLE,Yorkshire and The Humber,TLE4,West Yorkshire,TLE42,Leeds,E47000003,West Yorkshire
TLE,Yorkshire and The Humber,TLE4,West Yorkshire,TLE44,Calderdale and Kirklees,E47000003,West Yorkshire
TLE,Yorkshire and The Humber,TLE4,West Yorkshire,TLE44,Calderdale and Kirklees,E47000003,West Yorkshire
TLE,Yorkshire and The Humber,TLE4,West Yorkshire,TLE45,Wakefield,E47000003,West Yorkshire
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF11,Derby,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF12,East Derbyshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF12,East Derbyshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF12,East Derbyshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF13,South and West Derbyshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF13,South and West Derbyshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF13,South and West Derbyshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF13,South and West Derbyshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF13,South and West Derbyshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF14,Nottingham,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF15,North Nottinghamshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF15,North Nottinghamshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF15,North Nottinghamshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF15,North Nottinghamshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF16,South Nottinghamshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF16,South Nottinghamshire,E47000013,East Midlands
TLF,East Midlands,TLF1,Derbyshire and Nottinghamshire,TLF16,South Nottinghamshire,E47000013,East Midlands
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF21,Leicester,,
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,,
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,,
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,,
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,,
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,,
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,,
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,,
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,,
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF24,West Northamptonshire,,
TLF,East Midlands,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF25,North Northamptonshire,,
TLF,East Midlands,TLF3,Lincolnshire,TLF30,Lincolnshire CC,,
TLF,East Midlands,TLF3,Lincolnshire,TLF30,Lincolnshire CC,,
TLF,East Midlands,TLF3,Lincolnshire,TLF30,Lincolnshire CC,,
TLF,East Midlands,TLF3,Lincolnshire,TLF30,Lincolnshire CC,,
TLF,East Midlands,TLF3,Lincolnshire,TLF30,Lincolnshire CC,,
TLF,East Midlands,TLF3,Lincolnshire,TLF30,Lincolnshire CC,,
TLF,East Midlands,TLF3,Lincolnshire,TLF30,Lincolnshire CC,,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG11,"Herefordshire, County of",,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,,
TLG,West Midlands,TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,,
TLL,Wales,TLL5,South East Wales,TLL52,Cardiff and Vale of Glamorgan,,
TLL,Wales,TLL5,South East Wales,TLL53,Gwent Valleys,,
TLL,Wales,TLL5,South East Wales,TLL53,Gwent Valleys,,
TLL,Wales,TLL5,South East Wales,TLL53,Gwent Valleys,,
